Loaded 47 stocks from pegy_output_2026-01-20.json

Company                        P/E    Growth%     Div%       PEGY
-----------------------------------------------------------------
NSE:ADANIENT                 18.50      25.30     1.20     0.6955
NSE:ADANIPORTS               12.40      15.20     2.80     0.6851
NSE:APOLLOHOSP               28.60      18.50     0.50     1.4974
NSE:ASIANPAINT               38.20      12.30     0.80     2.8939
NSE:AXISBANK                 14.10      20.50     2.50     0.6104
NSE:BAJAJ-AUTO               15.30      10.20     1.80     1.2645
NSE:BAJFINANCE               16.80      22.10     1.50     0.7089
NSE:BAJAJFINSV               19.20      18.30     2.20      0.932
NSE:BEL                      22.50      14.70     2.10     1.3314
NSE:BPCL                      8.90      12.50     4.20     0.5298
NSE:BHARTIARTL               24.30      16.80     1.50     1.3207
NSE:BRITANNIA                35.70       8.20     1.20     3.7579
NSE:CIPLA                    20.40      11.30     2.10     1.5111
NSE:COALINDIA                10.20       8.50     3.80     0.8226
NSE:DIVISLAB                 36.50      22.10     0.30     1.6222
NSE:DRREDDY                  42.30      14.20     0.80     2.8013
NSE:EICHERMOT                28.10      11.50     1.10     2.2126
NSE:GRASIM                   20.50      13.20     2.50     1.2975
NSE:HCLTECH                  19.80      15.40     2.30     1.1124
NSE:HDFCBANK                 16.20      19.30     2.70      0.733
NSE:HEROMOTOCO               21.50      13.10     1.90     1.4238
NSE:HINDALCO                 12.80      16.50     2.40     0.6737
NSE:HINDUNILVR               44.20       9.80     1.30     3.9464
NSE:ICICIBANK                15.90      21.20     2.60     0.6653
NSE:INDUSINDBK               13.40      18.70     2.80     0.6204
NSE:INFY                     22.10      13.50     1.80     1.4351
NSE:ITC                      22.50      10.20     3.10     1.6791
NSE:JSWSTEEL                 11.30      14.80     2.20     0.6608
NSE:KOTAKBANK                18.70      20.10     2.40     0.8274
NSE:LT                       26.40      12.30     1.60     1.8857
NSE:M&M                      14.20      17.50     2.10     0.7208
NSE:MARUTI                   16.80      15.20     2.30     0.9545
NSE:NESTLEIND                48.50       7.20     0.90     5.9146
NSE:NTPC                     14.80      12.50     4.20      0.881
NSE:ONGC                      7.50      11.30     5.10     0.4545
NSE:POWERGRID                22.30       9.50     3.80     1.6642
NSE:RELIANCE                 20.10      14.20     1.50     1.2722
NSE:SBIN                     13.20      19.80     3.20     0.5714
NSE:SUNPHARMA                32.10      12.50     1.10     2.3431
NSE:TATACONSUM               25.80       8.30     1.80     2.5294
NSE:TATASTEEL                 9.60      15.20     2.90     0.5275
NSE:TCS                      24.70      11.80     2.50     1.7153
NSE:TECHM                    18.30      13.20     2.20     1.1806
NSE:TITAN                    32.40      16.50     0.40     1.9059
NSE:ULTRACEMCO               26.80      10.20     1.50     2.2712
NSE:UPL                      14.50      11.80     2.00     1.0432
NSE:WIPRO                    19.60      12.30     2.80     1.2895
